station_id,taxi_zone,taxi_R_total,taxi_R_male,taxi_R_female,taxi_R_age_under_29,taxi_R_age_30_54,taxi_R_age_55_over,taxi_W_total,taxi_W_male,taxi_W_female,taxi_W_age_under_29,taxi_W_age_30_54,taxi_W_age_55_over,startCount_0,endCount_0,startCount_1,endCount_1,startCount_2,endCount_2,startCount_3,endCount_3,startCount_4,endCount_4,startCount_5,endCount_5,startCount_6,endCount_6,startCount_7,endCount_7,startCount_8,endCount_8,startCount_9,endCount_9,startCount_10,endCount_10,startCount_11,endCount_11,startCount_12,endCount_12,startCount_13,endCount_13,startCount_14,endCount_14,startCount_15,endCount_15,startCount_16,endCount_16,startCount_17,endCount_17,startCount_18,endCount_18,startCount_19,endCount_19,startCount_20,endCount_20,startCount_21,endCount_21,startCount_22,endCount_22,startCount_23,endCount_23,label,capacity,lat,lon,name,short_name
3096,255,11668,6111.000000000003,5556.999999999997,3112.9999999999945,7325.999999999995,1228.9999999999984,8928,4900.999999999995,4027.000000000004,3062.999999999997,4726.000000000002,1139.0,13.0,8.0,6.0,7.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,18.0,4.0,22.0,6.0,71.0,14.0,51.0,46.0,49.0,52.0,62.0,56.0,72.0,51.0,62.0,58.0,62.0,56.0,67.0,46.0,42.0,63.0,31.0,75.0,47.0,66.0,48.0,78.0,42.0,46.0,40.0,26.0,28.0,22.0,13.0,14.0,2,39,40.71924,-73.95241999999998,Union Ave & N 12 St,5411.07
3100,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,39,40.724812564400175,-73.94752621650694,Nassau Ave & Newell St,5623.03
3101,255,11668,6111.000000000003,5556.999999999997,3112.9999999999945,7325.999999999995,1228.9999999999984,8928,4900.999999999995,4027.000000000004,3062.999999999997,4726.000000000002,1139.0,141.0,55.0,55.0,33.0,37.0,17.0,18.0,13.0,9.0,2.0,10.0,6.0,37.0,44.0,91.0,71.0,122.0,92.0,176.0,185.0,158.0,217.0,198.0,219.0,238.0,230.0,280.0,296.0,277.0,305.0,273.0,254.0,287.0,280.0,297.0,292.0,309.0,360.0,293.0,355.0,254.0,279.0,204.0,198.0,190.0,121.0,137.0,86.0,2,27,40.72079821,-73.95484712,N 12 St & Bedford Ave,5450.04
3102,255,11668,6111.000000000003,5556.999999999997,3112.9999999999945,7325.999999999995,1228.9999999999984,8928,4900.999999999995,4027.000000000004,3062.999999999997,4726.000000000002,1139.0,64.0,53.0,27.0,45.0,22.0,18.0,20.0,6.0,7.0,5.0,18.0,9.0,40.0,12.0,130.0,78.0,278.0,137.0,264.0,163.0,207.0,129.0,173.0,158.0,191.0,190.0,245.0,196.0,182.0,191.0,193.0,155.0,135.0,185.0,163.0,246.0,219.0,282.0,183.0,340.0,214.0,188.0,149.0,170.0,105.0,130.0,117.0,94.0,2,27,40.72179134,-73.95041540000003,Driggs Ave & Lorimer St,5481.04
3105,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,35.0,15.0,18.0,12.0,7.0,3.0,6.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,10.0,10.0,44.0,38.0,68.0,126.0,48.0,40.0,57.0,26.0,56.0,42.0,68.0,52.0,59.0,48.0,54.0,60.0,64.0,65.0,61.0,64.0,113.0,84.0,81.0,68.0,63.0,59.0,48.0,30.0,42.0,35.0,36.0,17.0,2,24,40.724055,-73.955736,N 15 St & Wythe Ave,5520.09
3106,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,23.0,115.0,14.0,65.0,8.0,29.0,3.0,26.0,18.0,15.0,20.0,8.0,154.0,12.0,469.0,35.0,561.0,40.0,221.0,57.0,210.0,87.0,206.0,127.0,205.0,106.0,142.0,137.0,193.0,180.0,202.0,163.0,152.0,195.0,184.0,246.0,207.0,505.0,219.0,445.0,164.0,251.0,122.0,219.0,79.0,171.0,89.0,143.0,2,19,40.72325,-73.94308000000002,Driggs Ave & N Henry St,5542.04
3107,255,11668,6111.000000000003,5556.999999999997,3112.9999999999945,7325.999999999995,1228.9999999999984,8928,4900.999999999995,4027.000000000004,3062.999999999997,4726.000000000002,1139.0,111.0,106.0,51.0,47.0,34.0,32.0,16.0,10.0,9.0,6.0,9.0,12.0,53.0,59.0,205.0,77.0,471.0,200.0,476.0,315.0,307.0,240.0,316.0,272.0,313.0,296.0,359.0,332.0,409.0,402.0,426.0,390.0,365.0,332.0,466.0,418.0,478.0,718.0,401.0,677.0,318.0,482.0,260.0,326.0,215.0,269.0,161.0,167.0,0,39,40.72311651,-73.95212324,Bedford Ave & Nassau Ave,5550.05
3108,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,34.0,134.0,27.0,95.0,5.0,56.0,5.0,32.0,4.0,9.0,21.0,7.0,129.0,63.0,397.0,114.0,906.0,182.0,525.0,128.0,245.0,130.0,247.0,155.0,253.0,202.0,220.0,197.0,224.0,230.0,220.0,259.0,244.0,277.0,277.0,446.0,356.0,646.0,304.0,602.0,183.0,385.0,166.0,299.0,102.0,238.0,74.0,199.0,0,24,40.72557000000001,-73.94434,Nassau Ave & Russell St,5581.01
3109,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,58.0,77.0,28.0,52.0,27.0,22.0,20.0,14.0,10.0,9.0,18.0,3.0,76.0,10.0,90.0,11.0,197.0,60.0,256.0,106.0,134.0,87.0,148.0,93.0,145.0,97.0,135.0,111.0,161.0,175.0,157.0,169.0,168.0,179.0,136.0,237.0,194.0,267.0,150.0,294.0,118.0,211.0,138.0,126.0,75.0,162.0,70.0,118.0,2,31,40.72606,-73.95621,Banker St & Meserole Ave,5633.04
3110,112,20126,10337.99999999999,9788.00000000001,5136.000000000005,12045.000000000005,2944.9999999999927,15596,9644.000000000002,5951.999999999997,3151.000000000003,8879.0,3565.9999999999964,65.0,118.0,28.0,51.0,42.0,29.0,18.0,11.0,16.0,8.0,9.0,12.0,59.0,46.0,157.0,46.0,383.0,158.0,260.0,129.0,170.0,196.0,240.0,212.0,245.0,225.0,251.0,238.0,267.0,242.0,273.0,231.0,229.0,223.0,233.0,305.0,241.0,364.0,219.0,275.0,167.0,200.0,120.0,158.0,101.0,132.0,84.0,122.0,2,27,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave,5666.04
