tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
3,4989,0.3734215273601924,0.17879334535979155,0.5560232511525356,0.2651834034876729,0.5037081579474845,0.39446782922429346,0.07737021447183805,0.007817197835237523,0.016636600521146523,0.12768089797554621,0.188614952896372,0.2579675285628382,0.246943275205452
4,2717,0.48214942951785056,0.25322046374677953,0.5542878174457122,0.1924917188075083,0.6934118513065881,0.18844313581155686,0.0923813029076187,0.008833271991166729,0.016930437983069563,0.12881854987118144,0.159735001840265,0.22046374677953626,0.23776223776223776
5,1191,0.5524769101595298,0.2678421494542401,0.5298068849706129,0.20235096557514692,0.8060453400503779,0.11670864819479429,0.07304785894206549,0.0,0.0041981528127623844,0.08060453400503778,0.15197313182199831,0.21578505457598657,0.2837951301427372
6,2495,0.4288577154308617,0.1967935871743487,0.5270541082164328,0.2761523046092184,0.7643286573146293,0.13226452905811623,0.08256513026052104,0.008016032064128256,0.01282565130260521,0.06693386773547094,0.181563126252505,0.21643286573146292,0.3382765531062124
7,17223,0.5213958079312547,0.23259594727980026,0.5580328630319921,0.20937118968820764,0.7046972072228996,0.16193462230737968,0.11089821749985485,0.008302850838994368,0.014167102130871509,0.12994251872496082,0.17900481913720026,0.22034488765023516,0.23811182720780352
8,11,0.5454545454545454,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182
9,3656,0.4671772428884026,0.212253829321663,0.562910284463895,0.224835886214442,0.6277352297592997,0.16821663019693656,0.18216630196936542,0.007658643326039387,0.014223194748358862,0.1137855579868709,0.16083150984682712,0.22975929978118162,0.2833698030634573
10,3021,0.5157232704402516,0.18967229394240318,0.5806024495200265,0.22972525653757034,0.4515061238000662,0.4011916583912612,0.11883482290632241,0.010923535253227408,0.017543859649122806,0.1519364448857994,0.20191989407480967,0.2366765971532605,0.21979476994372724
11,4084,0.5056317335945152,0.19711067580803135,0.5729676787463271,0.22992164544564153,0.6552399608227228,0.20225269343780608,0.12022526934378061,0.00514201762977473,0.017140058765915768,0.12193927522037218,0.16527913809990205,0.2169441723800196,0.2987267384916748
12,1116,0.5958781362007168,0.13440860215053763,0.6639784946236559,0.20161290322580644,0.7123655913978495,0.11559139784946236,0.12813620071684587,0.012544802867383513,0.03136200716845878,0.03853046594982079,0.1639784946236559,0.17114695340501793,0.49193548387096775
13,21540,0.604828226555246,0.2171773444753946,0.6521355617455896,0.13068709377901577,0.7158310120705664,0.10236768802228412,0.15603528319405757,0.007845868152274837,0.017920148560817084,0.05399257195914577,0.09336118848653667,0.15677808727948003,0.4786908077994429
14,17232,0.45264623955431754,0.22278319405756733,0.5339484679665738,0.24326833797585887,0.7071727019498607,0.16707288765088207,0.10236768802228412,0.009168987929433612,0.014217734447539461,0.11745589600742803,0.16840761374187557,0.2265552460538533,0.26479805013927576
15,4400,0.45795454545454545,0.36,0.455,0.185,0.706590909090909,0.16977272727272727,0.09954545454545455,0.006136363636363636,0.017954545454545456,0.10113636363636364,0.14227272727272727,0.1859090909090909,0.2106818181818182
16,11741,0.4597564091644664,0.2086704709990631,0.5574482582403543,0.23388127076058257,0.6233710927518951,0.18405587258325526,0.17017289839025637,0.00681372966527553,0.015586406609317776,0.11421514351418108,0.16029299037560685,0.23464781534792606,0.2821735797632229
17,14566,0.4481669641631196,0.23987367842921872,0.5676918852121379,0.1924344363586434,0.6125223122339695,0.30701633942056844,0.0586296855691336,0.0080324042290265,0.013799258547301936,0.13552107647947276,0.19174790608265824,0.21941507620486064,0.21344226280378964
18,9810,0.4707441386340469,0.18705402650356778,0.5821610601427115,0.2307849133537207,0.618960244648318,0.2798165137614679,0.0673802242609582,0.01365953109072375,0.02018348623853211,0.14852191641182466,0.1889908256880734,0.22935779816513763,0.24607543323139652
19,5959,0.48044973988924317,0.19281758684343012,0.5492532304077865,0.25792918274878335,0.6047994629971472,0.2513844604799463,0.12334284275885216,0.00771941600939755,0.012753817754656822,0.09749958046652123,0.16999496559825475,0.23611344185265984,0.3035744252391341
20,7848,0.4709480122324159,0.28160040774719675,0.5002548419979612,0.218144750254842,0.7220948012232415,0.19074923547400613,0.059760448521916414,0.009046890927624873,0.01834862385321101,0.12372579001019368,0.14602446483180428,0.19852191641182468,0.2501274209989806
21,9440,0.4602754237288136,0.1961864406779661,0.5673728813559322,0.2364406779661017,0.7047669491525423,0.12330508474576271,0.14978813559322035,0.008580508474576271,0.013559322033898305,0.1263771186440678,0.1646186440677966,0.2225635593220339,0.2902542372881356
22,16136,0.43164352999504213,0.20426375805651958,0.5434432325235499,0.2522930094199306,0.6466906296479921,0.17730540406544373,0.1560485870104115,0.007498760535448686,0.012456618740704016,0.12289291026276648,0.17426871591472484,0.22235994050570154,0.27621467526028753
23,13605,0.4972436604189636,0.2428518926865123,0.5326718118338846,0.2244762954796031,0.7214994487320838,0.18235942668136715,0.07673649393605292,0.006468210216832047,0.012936420433664095,0.0930540242557883,0.17118706357956634,0.22940095553105475,0.26350606394707826
24,2587,0.4998067259373792,0.22226517201391574,0.5458059528411288,0.23192887514495555,0.6238886741399304,0.2674913026671821,0.08040201005025126,0.010436799381522999,0.01778121376111326,0.146115191341322,0.18322381136451488,0.23192887514495555,0.21646695013529185
25,27777,0.5924685891204954,0.18752925081902294,0.6049249378982612,0.2075458112827159,0.5523994671850811,0.32710515894445047,0.09504266119451345,0.008136227814378803,0.017316484861576123,0.1039709111855132,0.17593692623393456,0.24955898765165424,0.28300392410987507
