capacity,lat,lon,name,short_name,station_id,empytCount_0,empytCount_1,empytCount_2,empytCount_3,empytCount_4,empytCount_5,empytCount_6,empytCount_7,empytCount_8,empytCount_9,empytCount_10,empytCount_11,empytCount_12,empytCount_13,empytCount_14,empytCount_15,empytCount_16,empytCount_17,empytCount_18,empytCount_19,empytCount_20,empytCount_21,empytCount_22,empytCount_23
30,40.7162469,-74.0334588,Exchange Place,JC001,3183,8.0,78.0,53.0,36.0,0.0,26.0,0.0,59.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,16.0
14,40.7141454,-74.0335519,Paulus Hook,JC002,3184,122.0,2.0,88.0,0.0,0.0,0.0,0.0,47.0,31.0,0.0,5.0,7.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,22.0,67.0
22,40.7177325,-74.04384499999998,City Hall,JC003,3185,6.0,4.0,53.0,28.0,0.0,0.0,6.0,37.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
42,40.71958611647166,-74.0431174635887,Grove St PATH,JC005,3186,11.0,25.0,38.0,208.0,26.0,0.0,39.0,44.0,17.0,9.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,3.0,5.0
22,40.72112360000001,-74.03805095,Warren St,JC006,3187,4.0,0.0,0.0,23.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,15.0,12.0,41.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
18,40.71821129999999,-74.08363940000002,Union St,JC051,3191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,40.7112423,-74.0557013,Liberty Light Rail,JC052,3192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,4.0,3.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
18,40.7246050998869,-74.07840594649316,Lincoln Park,JC053,3193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,40.7253399253558,-74.06762212514876,McGinley Square,JC055,3194,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,24.0,0.0,0.0,2.0,46.0,0.0,78.0,21.0,0.0,0.0,16.0,15.0,14.0,0.0,0.0,0.0
38,40.730742625306576,-74.06378388404845,Sip Ave,JC056,3195,74.0,75.0,30.0,74.0,81.0,6.0,33.0,73.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
18,40.7443187,-74.04399090000003,Riverview Park,JC057,3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,69.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0
18,40.748715945380226,-74.04044330120088,Heights Elevator,JC059,3198,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,49.0,14.0,0.0,9.0,9.0,0.0,0.0,6.0,20.0
14,40.7287448,-74.03210820000002,Newport Pkwy,JC008,3199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,40.737711,-74.066921,Dey St,JC065,3201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,40.7272235,-74.03375890000002,Newport PATH,JC066,3202,45.0,43.0,64.0,55.0,1.0,0.0,67.0,19.0,27.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,51.0
26,40.727595965999996,-74.044247311,Hamilton Park,JC009,3203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,12.0,10.0,3.0,7.0,0.0,0.0,5.0,1.0,1.0,0.0
22,40.71653978099194,-74.0496379137039,JC Medical Center,JC011,3205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,17.0,1.0,55.0,31.0,0.0,12.0,10.0,0.0,0.0,0.0
26,40.7311689,-74.0575736,Hilltop,JC019,3206,1.0,6.0,7.0,32.0,7.0,5.0,6.0,66.0,5.0,11.0,6.0,6.0,0.0,4.0,13.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0
26,40.7376037,-74.05247829999998,Oakland Ave,JC022,3207,0.0,9.0,0.0,27.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,9.0,56.0,17.0,0.0,61.0,0.0,41.0,0.0,14.0,3.0,0.0,0.0
