is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,eightd_has_available_keys,id_num
1,1,1,1541436863,27,1,8,0,0,336,False,
1,1,1,1541437077,34,0,3,0,0,337,False,
1,1,1,1541436906,14,1,9,0,0,339,False,
1,1,1,1541436970,16,0,11,0,0,340,False,
1,1,1,1541426869,14,0,4,1,0,341,False,
1,1,1,1541436658,1,0,28,0,0,342,False,
1,1,1,1541436964,22,1,0,0,0,343,False,
1,1,1,1541436833,6,0,17,0,0,344,False,
1,1,1,1541435701,4,2,20,1,0,346,False,
1,1,1,1541437017,26,2,6,1,0,347,False,
1,1,1,1541435156,0,0,22,1,0,349,False,
1,1,1,1541437083,2,1,24,1,0,350,False,
1,1,1,1541436707,34,1,4,0,0,351,False,
1,1,1,1541436916,13,0,14,0,0,353,False,
1,1,1,1541428360,10,0,12,1,0,354,False,
1,1,1,1541436006,30,0,13,0,0,355,False,
1,1,1,1541436136,0,0,23,0,0,356,False,
1,1,1,1541436803,13,1,13,0,0,357,False,
1,0,0,1541437085,34,2,0,0,2,358,False,
1,1,1,1541437083,11,3,25,0,0,360,False,
1,1,1,1541435950,0,0,43,0,0,361,False,
1,1,1,1541436751,3,1,53,0,0,362,False,
1,1,1,1541437072,29,2,16,2,0,363,False,
1,1,1,1541436574,12,1,14,0,0,364,False,
1,1,1,1541437025,12,0,19,0,0,365,False,
1,1,1,1541436807,7,1,25,0,0,366,False,
1,1,1,1541436994,11,1,26,1,2,368,False,
1,1,1,1541437046,1,1,33,0,0,369,False,
0,0,0,1541424477,0,0,27,0,0,372,False,
1,1,1,1541436873,3,0,16,0,0,373,False,
1,1,1,1541435729,31,0,12,0,0,376,False,
1,1,1,1541437065,3,3,36,0,0,379,False,
1,1,1,1541436912,3,0,36,0,0,380,False,
1,1,1,1541436804,33,2,0,1,0,382,False,
1,1,1,1541436587,17,1,21,0,0,383,False,
1,1,1,1541435803,14,4,25,0,0,386,False,
1,1,1,1541436769,23,2,12,2,0,387,False,
1,1,1,1541437055,31,0,4,0,0,388,False,
1,1,1,1541436353,7,0,20,0,0,389,False,
1,1,1,1541436265,31,0,0,0,0,390,False,
1,1,1,1541436963,8,2,21,0,0,391,False,
1,1,1,1541436489,23,1,11,0,0,392,False,
1,1,1,1541436734,1,0,30,0,0,393,False,
1,1,1,1541436898,19,3,10,0,0,394,False,
1,1,1,1541434798,10,1,14,0,0,396,False,
1,1,1,1541428511,13,0,14,0,0,397,False,
1,1,1,1541429058,28,2,1,0,0,398,False,
1,1,1,1541435734,17,0,10,0,0,399,False,
1,1,1,1541419395,0,0,15,0,0,400,False,
1,1,1,1541435637,2,3,36,1,0,401,False,
1,1,1,1541436920,23,1,7,0,0,403,False,
1,1,1,1541435565,30,2,7,1,0,405,True,
1,1,1,1541435044,0,2,31,1,0,406,False,
1,1,1,1541431284,25,0,12,0,0,407,False,
1,1,1,1541434943,15,1,7,0,0,408,False,
1,1,1,1541436275,12,0,7,0,0,409,False,
1,1,1,1541436635,0,0,34,1,0,410,False,
1,1,1,1541436682,4,2,17,0,0,411,False,
1,1,1,1541436614,5,1,22,1,0,412,False,
1,1,1,1541436632,20,3,1,0,1,414,False,
1,1,1,1541435657,25,0,17,0,0,415,False,
1,1,1,1541436631,4,0,27,0,0,416,False,
1,1,1,1541436943,16,1,5,1,0,417,False,
1,1,1,1541427405,21,2,0,0,0,418,False,
1,1,1,1541436251,0,1,22,0,0,419,False,
1,1,1,1541432057,2,0,21,0,1,420,False,
1,1,1,1541437000,0,0,19,0,0,421,False,
1,1,1,1541435509,1,0,54,0,0,422,False,
1,1,1,1541436767,3,1,23,0,0,423,False,
1,1,1,1541434872,22,3,21,1,0,427,False,
1,1,1,1541436793,14,0,17,0,0,432,False,
1,1,1,1541436769,37,1,9,0,0,435,False,
1,1,1,1541424987,1,1,25,0,0,436,False,
1,1,1,1541436379,15,1,8,0,0,437,False,
1,1,1,1541436471,1,0,40,0,0,438,False,
1,1,1,1541436385,11,1,27,0,0,439,False,
1,1,1,1541436540,16,0,16,0,0,440,False,
1,1,1,1541435836,8,1,26,0,0,441,False,
1,1,1,1541437053,5,1,45,0,0,442,False,
1,1,1,1541429327,3,0,18,2,0,443,False,
1,1,1,1541437039,14,0,38,0,0,445,False,
1,1,1,1541437002,17,0,22,0,0,446,False,
1,1,1,1541435753,0,1,21,1,0,447,False,
1,1,1,1541436162,1,0,30,0,0,448,False,
1,1,1,1541436174,1,0,58,0,0,450,False,
1,1,1,1541436420,17,1,21,0,0,453,False,
1,1,1,1541433297,6,1,28,0,0,454,False,
1,1,1,1541430207,18,2,19,0,0,455,False,
1,1,1,1541437006,35,0,0,0,1,456,False,
0,0,0,1,0,0,0,0,0,457,False,
1,1,1,1541436764,9,0,22,0,0,458,False,
1,1,1,1541436752,35,2,12,0,0,459,True,
1,1,1,1541435591,4,1,17,1,0,460,False,
1,1,1,1541436985,9,1,29,0,0,461,False,
1,1,1,1541436941,36,1,10,0,0,462,False,
1,1,1,1541436523,7,2,23,7,0,465,False,
1,1,1,1541436672,23,1,11,0,0,466,False,
1,1,1,1541436941,21,0,12,1,0,467,False,
1,1,1,1541437036,39,0,10,0,0,468,False,
1,1,1,1541436824,11,1,45,0,0,469,False,
1,1,1,1541436868,27,2,9,0,0,470,False,
1,1,1,1541434912,18,1,12,0,0,471,False,
1,1,1,1541437065,15,0,26,0,0,472,False,
1,1,1,1541434861,3,0,35,0,0,473,False,
0,0,0,1,0,0,0,0,0,474,False,
1,1,1,1541437046,27,2,18,0,0,476,False,
1,1,1,1541436657,2,0,57,0,0,477,False,
1,1,1,1541436683,1,0,30,0,0,478,False,
1,1,1,1541437048,1,1,29,0,0,479,False,
1,1,1,1541435929,1,0,26,0,0,480,False,
1,1,1,1541436751,1,0,24,0,0,481,False,
1,1,1,1541436260,22,1,15,1,0,482,False,
1,1,1,1541437037,29,2,2,1,1,483,False,
1,1,1,1541436777,34,2,8,0,0,484,False,
1,1,1,1541436066,9,0,30,0,0,485,False,
1,1,1,1541436863,7,0,31,1,0,486,False,
1,1,1,1541436804,6,1,27,0,0,487,False,
1,1,1,1541436838,8,1,50,0,0,490,False,
1,0,0,1540940671,0,0,60,1,0,492,False,
1,1,1,1541436914,31,0,3,0,0,493,False,
1,1,1,1541436564,7,1,27,0,0,494,False,
1,1,1,1541432664,0,2,23,0,0,495,False,
1,1,1,1541437092,42,1,4,0,0,496,False,
1,1,1,1541437073,22,1,35,1,0,497,True,
1,1,1,1541437033,0,0,29,1,0,498,False,
1,1,1,1541437066,12,0,24,0,0,499,False,
1,1,1,1541436140,21,1,30,0,0,500,False,
1,1,1,1541431215,5,0,37,1,0,501,False,
1,1,1,1541437046,1,0,29,0,0,502,False,
1,1,1,1541436906,26,0,3,0,0,503,False,
1,1,1,1541436678,0,0,44,0,0,504,False,
1,1,1,1541437080,0,1,32,3,0,505,True,
1,1,1,1541437065,22,1,22,0,0,507,False,
1,1,1,1541437066,11,1,11,1,0,508,False,
1,1,1,1541436739,3,0,33,0,0,509,False,
1,1,1,1541436638,1,1,25,0,0,513,False,
1,1,1,1541435722,35,3,14,0,0,514,True,
1,1,1,1541436147,2,0,33,0,0,515,False,
1,1,1,1541431279,16,0,15,0,0,516,False,
1,1,1,1541437076,1,1,57,0,0,517,False,
1,1,1,1541437072,2,0,37,0,0,518,False,
1,1,1,1541436884,0,3,58,0,0,519,True,
1,1,1,1541436860,26,0,21,0,0,522,False,
1,1,1,1541436958,7,1,41,2,0,523,False,
1,1,1,1541436574,31,3,22,1,0,524,False,
1,1,1,1541436984,20,1,17,1,0,525,False,
1,1,1,1541436783,6,1,31,1,0,526,False,
1,1,1,1541436796,24,0,15,0,0,528,False,
1,1,1,1541436640,0,1,40,0,0,529,False,
1,1,1,1541436482,3,0,21,0,0,530,False,
1,1,1,1541435486,4,1,34,0,0,531,False,
1,1,1,1541436205,13,3,27,0,0,532,True,
1,1,1,1541436652,7,0,39,0,0,533,False,
1,1,1,1541436166,25,0,6,0,0,534,False,
1,1,1,1541437076,26,1,2,0,0,536,False,
1,1,1,1541437087,21,0,10,0,0,539,False,
1,1,1,1541436441,14,1,15,0,0,540,False,
